用户ID,泡面,沙琪玛,泡腾片,橙子,苹果,梨,酒精棉
fVIIcn2jfi,0,0,0,0,0,0,0
AcM09hSKXO,0,0,0,0,3,0,0
K5va846pc3,0,0,0,0,1,0,0
C1qS1rAp0v,0,1,1,2,0,0,0
blGlxYNmDW,0,0,0,0,0,0,0
aqNpAeEoc9,1,0,0,0,1,0,0
q0XT80J1JB,0,0,0,0,0,0,0
jCFdtP9Wk0,0,2,0,0,0,0,0
2sIatJGaSi,0,0,0,0,0,0,0
0UGNODnVWk,0,0,3,0,0,0,2
zlqWB1Zk0j,0,0,0,0,0,0,0
OIPxcdZNWN,0,0,0,0,0,1,0
p3qVUpNJL9,0,0,0,1,0,0,0
NAnbR0eP8Q,1,1,0,0,1,0,0
GFMMVg6wbI,0,0,0,0,0,0,0
0aKdGvGLYw,0,0,0,0,0,0,0
