ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
605089.SH,SSE,夏靖,夏靖,谢林华,10000.0,20081210,江苏,苏州市,www.weizhixiang.com,info@weizhixiang.com;houyuting@weizhixiang.com,400.0
300800.SZ,SZSE,张广胜,聂波,侯亮,23840.0,19970529,湖南,长沙市,www.lihero.com,hl@lihero.com,949.0
002571.SZ,SZSE,施卫东,施卫东,俞乐,39195.07,20021016,安徽,滁州市,www.deliglass.com,yl@deliglass.com;deli@deliglass.com,2117.0
603305.SH,SSE,徐旭东,徐旭东,周小芬,44703.8482,20030825,浙江,宁波市,www.nbxus.com,xsgf@nbxus.com,1862.0
603506.SH,SSE,韩芳,楼俊,赵磊,18777.7779,19940413,浙江,杭州市,www.nacityres.com,IR@nacity.cn;zhaolei@nacity.cn;chenmm@nacity.cn,9086.0
002720.SZ,SZSE,李臣,李臣,王伟斌,23611.9428,19970131,甘肃,临夏回族自治州,www.gshlpy.com,wb1166@126.com,346.0
300525.SZ,SZSE,陈航,刘少华,林宏,39611.8293,20010905,福建,福州市,www.bosssoft.com.cn,bosssoft@bosssoft.com.cn,3695.0
300506.SZ,SZSE,程宗玉,程宗玉,朱业朋,69559.6569,20010508,广东,深圳市,www.minkave.com,minkave@minkave.com,713.0
605333.SH,SSE,成三荣,金成成,成磊,40100.0,19970331,江苏,苏州市,www.kshg.com,ir@kshg.com,3320.0
300450.SZ,SZSE,王燕清,王燕清,周建峰,156379.4127,20020430,江苏,无锡市,www.leadchina.cn,lead@leadchina.cn;longfei.miao@leadchina.cn;jianfeng.zhou@leadchina.cn,8215.0
300478.SZ,SZSE,胡宝泉,蒋鹏,蒋鹏,12874.8,20041126,浙江,杭州市,www.gxsl.com,hzgx@gxsl.com,269.0
603100.SH,SSE,吴朋,刘长明,杨利,39500.0,19991101,重庆,重庆市,www.cqcy.com,yangli@cqcy.com;wangyanyan@cqcy.com;cyzqb@cqcy.com,4806.0
300785.SZ,SZSE,隋国栋,隋国栋,柳伟亮,8874.425,20111110,北京,北京市,www.zhidemai.com,ir@zhidemai.com,1506.0
300838.SZ,SZSE,陈晓宇,陈晓宇,冯辉彬,13634.0,20030109,浙江,温州市,www.linuovalve.com,fhb@linuovalve.com;zd@linuovalve.com,645.0
603685.SH,SSE,何文健,何文健,徐敏,16900.0,20010108,浙江,嘉兴市,www.cnlampholder.com,cf_info@cnlampholder.com,1572.0
300491.SZ,SZSE,马晓峰,马晓峰,冯智勇,17345.3199,19981221,河北,石家庄市,www.sjzthdz.com,zhujialin@sjzthdz.com;guoqiaolin@sjzthdz.com;Investor@sjzthdz.com,652.0
603678.SH,SSE,蔡明通,蔡劲军,陈世宗,45985.7772,20071220,福建,泉州市,www.torch.cn,investor@torch.cn,1826.0
300658.SZ,SZSE,谢继华,谢继华,黄腾,22761.0,20000403,福建,厦门市,www.yanjan.com,yanjanxincai@yanjan.com,1161.0
603535.SH,SSE,段容文,黄平,黄艳芸,16086.0576,20001024,广东,广州市,www.jiacheng88.com,securities@jiacheng88.com,1086.0
603268.SH,SSE,卢堃,林培群,李静,12416.88,20020711,广东,潮州市,www.songfa.com,sfzqb@songfa.com;songfa@songfa.com;lijing@songfa.com,1343.0
300626.SZ,SZSE,阳帮元,谢劲跃,宋光辉,18000.0,19960212,浙江,宁波市,www.hrdq.cn,info@hrdq.cn,1514.0
002620.SZ,SZSE,李冬阳,李冬阳,戚鲲文,37829.2,19920818,广东,深圳市,www.sz-ruihe.com,ruihe@sz-ruihe.com;zqb@sz-ruihe.com,647.0
605088.SH,SSE,周家儒,周隆盛,黄正荣,16581.5,19990413,浙江,温州市,www.gsp.cn,ir@gsp.cn,2274.0
300283.SZ,SZSE,陈晓,陈晓,严学文,43708.523,19970911,浙江,温州市,www.wzhf.com,wzhf@wzhf.com;zqb@wzhf.com,1180.0
603177.SH,SSE,金猛,赵博,沈鑫,20200.0,20050906,浙江,绍兴市,www.zj-tuna.com,securities@zj-tuna.com,719.0
603719.SH,SSE,杨红春,杨银芬,徐然,40100.0,20100804,湖北,武汉市,www.517lppz.com,dongban@lppz.com,11226.0
300561.SZ,SZSE,陈喆,陈喆,孙玉玲,32810.7975,20050126,广东,珠海市,www.sgsg.cc,investor@sgsg.cc,285.0
601500.SH,SSE,顾萃,程金元,卞亚波,107479.6667,20020819,江苏,无锡市,www.ty-tyre.com,jstongyong@ty-tyre.com,4172.0
002602.SZ,SZSE,谢斐,谢斐,郦冰洁,745255.6968,20051031,浙江,绍兴市,www.sjhuatong.com,sjhuatong@sjhuatong.com;bingjie_li@sjhuatong.com,7250.0
688077.SH,SSE,熊永飞,熊永飞,董学春,8000.0,20031104,安徽,合肥市,earth-panda.com,dong@earth-panda.com,1232.0
301081.SZ,SZSE,孙尚泽,李钊,余卫国,17067.0,20140528,浙江,台州市,www.yanpai.com,share@yanpai.com,827.0
300285.SZ,SZSE,张曦,张兵,许少梅,100381.0338,20050421,山东,东营市,www.sinocera.cn,sinocera@sinocera.cn;xushaomei@sinocera.cn;zhaohongyan@sinocera.cn,3009.0
002835.SZ,SZSE,郭立志,郭立志,杨晗鹏,21955.5402,20041222,广东,深圳市,www.tvt.net.cn,dongmiyhp@tvt.net.cn,1190.0
300403.SZ,SZSE,石华山,石华山,石胜美,60300.0,20021126,广东,江门市,www.idearhanyu.com,idearhanyu@oceanhanyu.com,1854.0
688049.SH,SSE,ZHOU ZHENYU,ZHOU ZHENYU,XIE MEI QIN,12200.0,20140605,广东,珠海市,www.actions-semi.com,investor.relations@actions-semi.com,311.0
603328.SH,SSE,霞晖,霞晖,林海,99844.2611,20000302,广东,中山市,www.ellingtonpcb.com,ellington@ellingtonpcb.com,4810.0
603131.SH,SSE,舒振宇,舒振宇,廖晓华,31798.2401,19951206,上海,上海市,www.hugong.com,hggf@hugong.com,1282.0
601611.SH,SSE,陈宝智,戴雄彪,高金柱,264859.5695,20101221,上海,上海市,www.cnecc.com,dong_sh@cnecc.com;zhangyunpu@cnecc.com;gaojinzhu@cnecc.com,37216.0
300858.SZ,SZSE,刘晓军,刘晓军,张凌宇,14853.1845,20030905,北京,北京市,www.scitop.cn,zqb@scitop.cn,172.0
300994.SZ,SZSE,李政,李政,雍嬿,19424.0,20001006,浙江,杭州市,www.joykie.com,jqbikehz@joykie.com;yongyan@joykie.com;yiran_lu@joykie.com,683.0
300488.SZ,SZSE,陈尔容,陈子彦,陈子怡,16567.9281,19970717,浙江,嘉兴市,www.esttools.com,pr@esttools.com,731.0
002655.SZ,SZSE,傅爱善,傅爱善,李光强,36000.0,20010410,山东,潍坊市,www.gettopacoustic.com,gettop@gettopacoustic.com,2622.0
300663.SZ,SZSE,王安京,王安京,周旭红,46217.8442,19991201,北京,北京市,www.csii.com.cn,investor@csii.com.cn,5268.0
603171.SH,SSE,张镇潮,张镇潮,谢国雷,40589.0,19991222,浙江,杭州市,www.servyou.com.cn,servyoustock@servyou.com.cn,5800.0
300438.SZ,SZSE,夏信德,甄少强,鲁宏力,43349.7356,20010118,广东,广州市,www.greatpower.net,info@greatpower.net;lxl@greatpower.net,7846.0
688029.SH,SSE,隆晓辉,冷德嵘,龚星亮,13374.722,20000510,江苏,南京市,www.micro-tech.com.cn,nwyx@micro-tech.com.cn,1951.0
002575.SZ,SZSE,张金成,张金成,吴年有,61872.0,19960902,广东,汕头市,www.sz002575.com,002575@sz002575.com,81.0
838924.BJ,,赵国民,赵国民,王欢,8300.0,20120322,浙江,杭州市,www.gcomtechnology.com,ir@gcomtech.com.cn,240.0
300500.SZ,SZSE,查金荣,查金荣,胡旭明,17413.9024,19880303,江苏,苏州市,www.siad-c.com\www.tusdesign.com,huiling.yu@tusdesign.com;xuming.hu@tusdesign.com,1829.0
300220.SZ,SZSE,梁萍,梁萍,李丹,15120.0,20050311,湖北,武汉市,www.goldenlaser.cn,whjydm2015@163.com;smh1399@163.com,519.0
300767.SZ,SZSE,李涛,李涛,白云飞,20217.0726,20100104,云南,昆明市,www.zhenanpro.com,liuf@zhenanpro.com,523.0
300596.SZ,SZSE,李海平,孙春光,谢金桃,20501.042,20030808,天津,天津市,www.rianlon.com,sec@rianlon.com,1902.0
601601.SH,SSE,孔庆伟,傅帆,苏少军,962034.1455,19910513,上海,上海市,www.cpic.com.cn,ir@cpic.com.cn,110940.0
603050.SH,SSE,张成锁,屈国旺,宋建玲,16221.01,20000212,河北,石家庄市,www.kechina.com,ke1911@kechina.com,2024.0
603708.SH,SSE,王培桓,王培桓,周承生,60840.1527,19810616,山东,威海市,www.jiajiayue.com.cn,jiajiayue@jiajiayue.com.cn,27049.0
833523.BJ,,潘文硕,潘文硕,王卫华,7792.413,20120507,广东,惠州市,www.huiderui.com,wangwh@huiderui.com,546.0
603843.SH,SSE,金生光,金生光,马富昕,69962.3237,19960318,青海,西宁市,www.zhengpingjituan.com,zplqzqb@126.com,1586.0
002781.SZ,SZSE,叶洪孝,,涂鸿文,22500.0,19950512,江西,新余市,www.qxholding.com,ir@qxholding.com,950.0
603818.SH,SSE,赵瑞海,赵瑞海,孙潇阳,58039.5546,19930410,北京,北京市,www.qumei.com,ir@qumei.com.cn,3931.0
300977.SZ,SZSE,黄新华,黄新华,刘艳辉,6837.89,20100412,广东,深圳市,www.szridge.com,ir@szridge.com,1919.0
830839.BJ,,王万法,王刚,厉建慧,12000.0,20040607,山东,日照市,www.sdwtyy.com,lijianhui@sdwtyy.cn,409.0
002885.SZ,SZSE,张立品,鞠万金,辛广斌,18000.0,19960625,广东,深圳市,www.everrise.net,szjqh@everrise.net,3549.0
002708.SZ,SZSE,李树华,吴朝阳,郑伟强,49201.1076,19950422,江苏,常州市,www.nrb.com.cn,bearing@nrb.com.cn;owen.wu@nrb.com.cn;sx@nrb.com.cn;weiqiang.zheng@nrb.com.cn,2972.0
688126.SH,SSE,俞跃辉,Chiu Tzu-Yin(邱慈云),李炜,248026.0,20151209,上海,上海市,www.nsig.com,pr@sh-nsig.com,1581.0
300795.SZ,SZSE,潘建军,方欢胜,姚宗宪,10016.4,20100630,浙江,杭州市,www.meorient.com,zhengquan@meorient.com;luyanjun@meorient.com,427.0
603015.SH,SSE,熊钰麟,熊明慧,郑琴,40421.9,20010905,浙江,宁波市,www.techmation.com.cn,info@techmation.com.cn,741.0
688579.SH,SSE,李庆忠,郑永清,张建军,40001.0,19921119,山东,济南市,www.dareway.com.cn,ir@dareway.com.cn;zhangm@dareway.com.cn,1533.0
603067.SH,SSE,蔡再华,柯愈胜,陈前炎,50841.6166,20030619,湖北,黄石市,www.hbzhenhua.com,603067@hszhenhua.com;zsj@hszhenhua.com,1213.0
688088.SH,SSE,邓晖,邓晖,蒿惠美,40600.0,20030225,浙江,杭州市,www.arcsoft.com.cn,invest@arcsoft.com;office@arcsoft.com,679.0
603697.SH,SSE,鹿有忠,鹿有忠,刘渝灿,30904.56,20070525,重庆,重庆市,www.youyoufood.com,yysecurity@youyoufood.com,1486.0
603317.SH,SSE,邓文,邓文,何昌军,75418.169,20070302,四川,成都市,www.teway.cn,dsh@teway.cn,2403.0
300320.SZ,SZSE,钱振宇,钱振宇,胡蕴新,60123.4191,19980410,江苏,无锡市,www.haida.cn,haida@haida.cn,2386.0
603227.SH,SSE,康健,康健,周小力,65870.0,19840627,新疆,乌鲁木齐市,www.xjxfkj.com,xfmbzxl@sina.com;xfkjzqb603227@163.com,2788.0
835305.BJ,,张真,刘鹏,孙志刚,13237.6125,20110318,江苏,南京市,www.cstor.cn,sunzhigang@cstor.cn,154.0
603833.SH,SSE,姚良松,姚良松,杨耀兴,60915.1948,19940701,广东,广州市,www.oppein.com,oppeinIR@oppein.com,20022.0
300227.SZ,SZSE,侯若洪,侯若洪,张洪宇,49932.6233,20051025,广东,深圳市,www.sunshine-laser.com,info@sunshine-laser.com,1500.0
002640.SZ,SZSE,李勇,贾润苹,张红霞,155804.133,20030307,山西,太原市,www.kjtbao.com,gx@kjtbao.com;zhx@kjtbao.com;ir@kjtbao.com,2510.0
300731.SZ,SZSE,周东,周东,梁媛,12508.8307,20080110,广东,深圳市,www.cotran.cn,tzh@szcotran.com,891.0
301198.SZ,SZSE,罗志强,罗胤豪,安力,10000.0,20050203,浙江,宁波市,www.joy-nb.com,joy@joy-nb.com,326.0
300351.SZ,SZSE,范纪军,范正军,余文震,38364.1857,19900319,浙江,台州市,www.yonggui.com,yonggui@yonggui.com,2425.0
603505.SH,SSE,王锦华,赵建平,戴水君,31160.3408,20010515,浙江,杭州市,www.chinesekings.com,webmaster@chinesekings.com;zhangjh@chinesekings.com;daisj@chinesekings.com,914.0
601206.SH,SSE,余剑伟,余剑伟,李恒,20700.0,19981021,浙江,宁波市,www.nb-health.com,hbm@nb-health.com,828.0
300640.SZ,SZSE,吴体芳,吴体芳,吴艳菱,28685.0254,19950708,福建,福州市,www.profit-cc.cn,board@fz-profit.com,330.0
300301.SZ,SZSE,王敏,刘志刚,江玮,79010.8769,20050530,广东,深圳市,www.cfled.com,ir@cfled.com,3907.0
603031.SH,SSE,夏柱兵,余斌,王成,11200.0,19990507,安徽,合肥市,www.sinoadl.com,adl7322445@163.com;445490166@qq.com;121981559@qq.com,3559.0
601100.SH,SSE,汪立平,邱永宁,张小芳,130536.0,20050602,江苏,常州市,www.henglihydraulic.com,hlzqb@henglihydraulic.com;hlzqb@hengli.net;153658911@qq.com,5373.0
688085.SH,SSE,徐农,徐农,范湘龙,20533.35,20050419,上海,上海市,www.sanyou-medical.com,ir@sanyou-medical.com,333.0
002648.SZ,SZSE,杨卫东,杨卫东,沈晓炜,172007.1529,20050803,浙江,嘉兴市,www.satlpec.com,satlpec@weixing.com.cn,3271.0
603081.SH,SSE,丰华,丰华,谢文杰,40908.5758,20020308,浙江,宁波市,www.chinadafeng.com,stock@chinadafeng.com,2220.0
300733.SZ,SZSE,魏晓林,魏晓林,杨浩,17212.3019,19990930,四川,成都市,www.xlqp.com,Yanghao@xlqp.com;hexinzhu@xlqp.com,1979.0
603322.SH,SSE,梁建华,张俊,邹文,16015.0,19980828,广东,广州市,www.sts.cn,Stssec@126.com,1437.0
300539.SZ,SZSE,胡志军,胡志军,胡建锋,22213.9531,20010709,浙江,宁波市,www.mouldcenter.com,zhengquanbu@mouldcenter.com;samuelhu@mouldcenter.com,1031.0
002616.SZ,SZSE,何启强,麦正辉,何骏,74194.2096,19930806,广东,中山市,www.chantgroup.cn,dmof@chantgroup.cn,4040.0
603798.SH,SSE,朱振华,杨奇峰,王黎明,20000.0,20031219,山东,青岛市,www.copton.com.cn,zhengquan@copton.com.cn,328.0
002833.SZ,SZSE,李茂洪,李茂洪,许丽君,30302.0032,20061117,广东,广州市,www.kdtmac.com,investor@kdtmac.com,1531.0
688698.SH,SSE,胡智勇,胡智勇,贺琬株,18000.0,20131017,江苏,苏州市,www.veichi.com,zqb@veichi.com,871.0
603369.SH,SSE,周素明,顾祥悦,王卫东,125450.0,19971223,江苏,淮安市,www.jinshiyuan.com.cn,jsydmb@163.com,3621.0
300610.SZ,SZSE,于子洲,于子洲,吴达明,21287.7,19950512,江苏,扬州市,www.yzch.cc,chzq@yzch.cc,792.0
601298.SH,SSE,苏建光,王新泽,孙洪梅,649110.0,20131115,山东,青岛市,www.qingdao-port.com,qggj@qdport.com;shm@qdport.com;dujr.db@qdport.com,8981.0
605365.SH,SSE,李江淮,李江淮,夏成亮,50000.0,20150407,福建,厦门市,www.leedarson.com.cn,leedarsoniot@leedarson.com,9219.0
300534.SZ,SZSE,康海军,康永红,元勤辉,30334.5,20020603,甘肃,兰州市,www.lsrfzy.com,lsrfzq@163.com;shbxue@163.com,298.0
002867.SZ,SZSE,周宗文,周宗文,何小林,109607.9837,20071015,广东,深圳市,www.chowtaiseng.com,szchowtaiseng@126.com,3068.0
603698.SH,SSE,姜从斌,孙庆君,徐京辉,53599.0,20070622,北京,北京市,www.china-ceco.com,htgc_bgs@china-ceco.com,607.0
002543.SZ,SZSE,叶远璋,卢宇聪,卢宇凡,74360.0,20031229,广东,佛山市,www.vanward.com,vw@vanward.com,4905.0
300607.SZ,SZSE,吴丰礼,吴丰礼,孔天舒,42646.4512,20070601,广东,东莞市,www.topstarltd.com,topstar@topstarltd.com,2623.0
300817.SZ,SZSE,周引春,周引春,浦四金,12127.68,20000815,浙江,嘉兴市,www.sf-bearing.com,pusijin@sf-bearing.com,1064.0
300385.SZ,SZSE,胡建民,胡建民,汪崇标,33314.5932,20010212,江苏,无锡市,www.cecm.com.cn,zqsw@cecm.com.cn,831.0
688606.SH,SSE,高飞,高飞,傅燕萍,5390.4145,20090417,浙江,杭州市,www.alltests.com.cn,Yanping.fu@alltests.com.cn,616.0
603711.SH,SSE,蒋建琪,蒋建琪,邹勇坚,41511.38,20050812,浙江,湖州市,www.chinaxpp.com,ir@chinaxpp.com,4323.0
301025.SZ,SZSE,华楠,朱筱筱,朱筱筱,40001.0,20090527,上海,上海市,www.dookbook.com,stock@dookbook.com,226.0
603088.SH,SSE,郑良才,李永坚,刘明君,30732.8,20020815,浙江,宁波市,www.nbjingda.com,jdm@nbjingda.com;dm@nbjingda.com,648.0
603302.SH,SSE,黄尚渭,蔡水源,卢海兰,36030.24,20040305,山东,烟台市,www.xinguanglvhuan.com,info@lvhuanchina.com,820.0
300422.SZ,SZSE,张雪球,宋海农,李成琪,50487.2458,19990413,广西,南宁市,www.bossco.cc,bskdb@bossco.cc;chengzx@bossco.cc,4710.0
603053.SH,SSE,罗龙,殷小军,青倩,88889.0,19860411,四川,成都市,www.cdgas.com,cdgasdb@cdgas.com;fengxinhao5@cdgas.com,2566.0
688283.SH,SSE,张吉林,张吉林,赵燕,8400.0,20100714,四川,成都市,www.ksw-tech.com,public@ksw-tech.com,92.0
603657.SH,SSE,陈正明,陈凯,吕敬,13440.0,20000711,浙江,金华市,www.chinacgh.com,cgzqb@chinacgh.com,1939.0
688256.SH,SSE,陈天石,陈天石,叶淏尹,40010.0,20160315,北京,北京市,www.cambricon.com,IR@cambricon.com;gengliwei@cambricon.com,1268.0
300958.SZ,SZSE,常永春,高艳丽,赵鸿雁,14265.6479,20071109,北京,北京市,bceer.bcegc.com,bceer@bceer.com,450.0
688521.SH,SSE,戴伟民,戴伟民,施文茜,49588.7148,20010821,上海,上海市,www.verisilicon.com,IR@verisilicon.com,1139.0
300228.SZ,SZSE,黄锋,黄锋,李欣,57540.6349,20030805,江苏,苏州市,www.furuise.com,furui@furuise.com,1623.0
002787.SZ,SZSE,李志聪,李志聪,邵娜,31597.5411,19980623,江苏,苏州市,www.huayuan-print.com,zqb@huayuan-print.com,1916.0
603908.SH,SSE,陆暾华,陆暾华,王潘祺,6669.0,20061031,浙江,衢州市,www.mobigarden.com.cn,ir@mobigarden.com.cn;xingzzy@comefly.com.cn,3190.0
300432.SZ,SZSE,藤明波,阳宇,李鹏程,74338.2248,19971110,四川,绵阳市,www.fulinpm.com,fljgzqb@fulinpm.com,2631.0
300709.SZ,SZSE,王明喜,王明喜,黄逸超,15519.3217,20041129,江苏,常州市,www.jsgian.com,ir@jsgian.com;huangyichao@jsgian.com;wangtao@jsgian.com,3152.0
300291.SZ,SZSE,方刚,方刚,李倩,91882.1518,20020619,北京,北京市,www.hlbn.cc,hbndsh@hlbn.cc,149.0
002757.SZ,SZSE,詹谏醒,詹任宁,叶裕平,29545.5913,19960503,广东,东莞市,www.nanxing.com.cn,investor@nanxing.com.cn,1880.0
002884.SZ,SZSE,王海波,王海波,刘子庚,35559.7743,19930515,广东,阳江市,www.lingxiao.com.cn,LX7236@126.COM,1159.0
300155.SZ,SZSE,张波,张波,黄伟宁,56122.7744,20041229,广东,广州市,www.anjubao.com,anjubao@anjubao.net;huangwn@anjubao.net;weiming_l@anjubao.net,1313.0
688191.SH,SSE,刘国永,聂树刚,陈晓娟,15304.6047,20060327,山东,淄博市,www.zhiyangcn.cn,zhengquan@zhiyanggroup.com,489.0
601326.SH,SSE,曹子玉,杨文胜,马喜平,558741.2,20080331,河北,秦皇岛市,www.portqhd.com,qggf@portqhd.com,11235.0
002820.SZ,SZSE,冯国东,李铭祥,黄靓雅,20480.0,19940920,天津,天津市,www.gfx.com.cn,qiaolu@gfxfood.com;guifaxiang@gfxfood.com;huangjingya@gfxfood.com,1100.0
301078.SZ,SZSE,徐卫红,徐卫红,李昌华,108800.0,20120601,江苏,南京市,www.haiziwang.com,ir@haiziwang.com,13272.0
688005.SH,SSE,白厚善,刘相烈,葛欣,44803.7632,20140918,浙江,宁波市,www.ronbaymat.com,ir@ronbaymat.com,1801.0
300548.SZ,SZSE,朱伟,朱伟,郑志新,17386.5324,20030708,浙江,嘉兴市,www.broadex-tech.com,stock@broadex-tech.com,1160.0
601798.SH,SSE,张玉福,张玉福,李旭杨,35452.8198,20010430,甘肃,兰州市,www.lanpec.com,lanpec@lanpec.com;lixy@lanpec.com;yangyancheng@lanpec.com,1344.0
605050.SH,SSE,崔建华,崔建兵,崔倩,43500.0,20040708,上海,上海市,www.scmfriend.com,shcq@scmfriend.com;zqb@scmfriend.com,473.0
300435.SZ,SZSE,章有虎,章有虎,周娟萍,37819.03,20060118,浙江,杭州市,www.hz-ztpe.com,info@zhongtaichina.com;zqb@zhongtaichina.com,1122.0
300533.SZ,SZSE,刘和国,刘和国,梅薇红,15083.34,20080121,广东,深圳市,www.q1.com,zqb@szgla.com,916.0
603398.SH,SSE,廖志远,廖志远,刘韬,34263.4507,20030818,江西,南昌市,www.banbao.com,bb@banbao.com,571.0
300899.SZ,SZSE,葛文越,葛文越,袁莉,6378.3466,20110725,上海,上海市,www.keysino.cn,shkx@keysino.cn,87.0
688222.SH,SSE,李进,李进,耿世伟,40068.0,20120222,四川,成都市,www.hitgen.com,investors@hitgen.com,458.0
300589.SZ,SZSE,晏志清,晏志清,徐海州,22215.7645,20030121,广东,中山市,www.jianglong.cn,hu.yueqin@jianglong.cn;dshbgs@jianglong.cn,598.0
603699.SH,SSE,王保庆,陆斌,卫瀚森,75000.0,20021114,江苏,苏州市,www.newayvalve.com,dshbgs@neway.com.cn,3495.0
603717.SH,SSE,罗卫国,罗卫国,孟卓伟,29014.624,20000621,重庆,重庆市,www.tygf.cn,luoweiguo@tygf.cn;IR@tysthj.com;IR@tygf.cn,428.0
300528.SZ,SZSE,蒋小平,杨抒,赖业军,37260.8054,20051118,江苏,南京市,www.omnijoi.com,board@omnijoi.com;yuqiang@omnijoi.com;laiyejun@omnijoi.com,1431.0
300951.SZ,SZSE,徐思通,徐思通,王琳,8000.0,20160826,广东,深圳市,www.bsc-sz.com,terry.wang@bsc-sz.com;zqb@bsc-sz.com,925.0
871553.BJ,,李文田,李京,李保森,14369.046,20030927,北京,北京市,www.ktjg.com.cn,libaosen@ktjg.com.cn;zjb@ktjg.com.cn,1058.0
300404.SZ,SZSE,王廷春,王廷春,韦芳群,26145.6365,20020929,广东,广州市,www.gzboji.com,board@gzboji.com,715.0
002611.SZ,SZSE,唐灼林,邱业致,周文辉,133193.8167,19961209,广东,佛山市,www.df-global.cn,ir@vmtdf.com,1688.0
872925.BJ,,王敏,王芳,段皓龄,4860.0,20110831,广东,惠州市,www.jinghao.cc,duanhaoling@jinghao.info,353.0
001317.SZ,SZSE,邱红阳,邱红阳,张侃,8004.0,20050906,重庆,重庆市,www.sanyangma.com,boardsecretary@sanyangma.com,807.0
002968.SZ,SZSE,李茂顺,刘文波,翁家林,16271.85,19981210,重庆,重庆市,www.dzwy.com,wengjl@dzwy.com;wangxiao@dzwy.com;ndz@dzwy.com,24629.0
301050.SZ,SZSE,邓洁茹,邓洁茹,牛育琴,9680.0,20070911,四川,成都市,www.rml138.com,rml@rml138.com,427.0
002892.SZ,SZSE,聂鹏举,聂鹏举,宋子凡,22500.9666,20100908,湖南,永州市,www.kelimotor.com,stock@kelimotor.com,3312.0
832317.BJ,,高明,高明,李振冰,23751.0,20040804,北京,北京市,,ir@skycam.com.cn,130.0
002623.SZ,SZSE,林金锡,林金锡,刘芹,19906.25,20060911,江苏,常州市,www.czamd.com,lq@czamd.com;amd@czamd.com;xby@czamd.com,804.0
002772.SZ,SZSE,刘亮,刘亮,钱晓利,40742.1801,20051118,甘肃,天水市,www.tszxjy.cn,gstszxjy@163.com,5198.0
002832.SZ,SZSE,谢秉政,申金冬,陈阳,55145.5606,20030102,广东,广州市,www.biemlf.com,investor@biemlf.com,2838.0
300964.SZ,SZSE,董晓俊,江培来,孔和兵,7729.8284,20060823,江苏,南京市,www.allfavorpcb.com,security@allfavorpcb.com,662.0
