,ts_code,name_x,area,fullname,enname,cnspell,market,list_date,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees,company_abbr_name,name_y,industry,industry_1,industry_2,industry_3,industry_1_code,industry_2_code
28,600079.SH,人福医药,湖北,人福医药集团股份公司,"Humanwell Healthcare (Group) Co.,Ltd.",rfyy,主板,19970606,SSE,李杰,邓霞飞,李前伦,163307.1908,19930330,湖北,武汉市,www.humanwell.com.cn,renfu.pr@renfu.com.cn;wuwenjing@renfu.com.cn,15042.0,人福医药,人福医药,S370102,医药生物,化学制药,化学制剂,S370000,S370100
29,600080.SH,金花股份,陕西,金花企业(集团)股份有限公司,Ginwa Enterprise(Group)Inc.,jhgf,主板,19970612,SSE,张朝阳,韩卓军,张朝阳,37327.0285,19960214,陕西,西安市,www.ginwa.com.cn,irm@ginwa.com.cn,676.0,ST 金 花,金花股份,S370301,医药生物,生物制品,生物制品,S370000,S370300
30,600081.SH,东风科技,上海,东风电子科技股份有限公司,"Dongfeng Electronic Technology Co.,Ltd.",dfkj,主板,19970703,SSE,陈兴林,韩力,李非,47041.8905,19980429,上海,上海市,www.detc.com.cn,postmaster@detc.com.cn;zhengming@detc.com.cn,4550.0,东风科技,东风科技,S280201,汽车,汽车零部件,汽车零部件,S280000,S280200
31,600082.SH,海泰发展,天津,天津海泰科技发展股份有限公司,"Tianjin Hi-Tech Development Co.,Ltd.",htfz,主板,19970620,SSE,董建新,,董建新,64611.5826,19930105,天津,天津市,www.hitech-develop.com,irm@hitech-develop.com;ligang@hitech-develop.com,77.0,海泰发展,海泰发展,S510101,综合,综合,综合,S510000,S510100
32,600083.SH,*ST博信,江苏,江苏博信投资控股股份有限公司,"Jiangsu Boxin Investing & Holdings Co.,Ltd.",stbx,主板,19970606,SSE,王伟,林泽杭,朱洁,23000.0,19930508,江苏,苏州市,www.toppers.com.cn,600083@boxinholding.com,23.0,*ST 博信,博信股份,S510101,综合,综合,综合,S510000,S510100
33,600084.SH,*ST中葡,新疆,中信国安葡萄酒业股份有限公司,"CITIC Guoan Wine Co.,Ltd",stzp,主板,19970711,SSE,李向禹,苏斌,张顺,112372.683,19970707,新疆,乌鲁木齐市,www.guoanwine.com,zhangshun@citicguoanwine.com;zpgf600084@citicguoanwine.com,411.0,ST 中 葡,中葡股份,S340305,食品饮料,饮料制造,葡萄酒,S340000,S340300
34,600088.SH,中视传媒,上海,中视传媒股份有限公司,"China Television Media,Ltd.",zscm,主板,19970616,SSE,唐世鼎,王钧,贺芳,39770.64,20020531,上海,上海市,www.ctv-media.com.cn,irmanager@ctv-media.com.cn,1336.0,中视传媒,中视传媒,S720102,传媒,文化传媒,影视动漫,S720000,S720100
35,600089.SH,特变电工,新疆,特变电工股份有限公司,"TBEA Co.,Ltd.",tbdg,主板,19970618,SSE,张新,黄汉杰,焦海华,378855.0289,19930226,新疆,昌吉回族自治州,www.tbea.com,jiaohaihua@tbea.com;yuyongxin@tbea.com;tbeazqb@tbea.com,16845.0,特变电工,特变电工,S630401,电气设备,高低压设备,高压设备,S630000,S630400
36,600090.SH,*ST济堂,新疆,新疆同济堂健康产业股份有限公司,"Xin Jiang Ready Health Industry Co.,Ltd.",stjt,主板,19970616,SSE,张美华,李青,张美华,143966.2945,19930426,新疆,乌鲁木齐市,www.cnready.com,xjtjtlc@163.com;xjtjtfly@163.com;xjtongjitang@163.com,821.0,同 济 堂,同济堂,S370401,医药生物,医药商业,医药商业,S370000,S370400
37,600091.SH,*ST明科,内蒙,包头明天科技股份有限公司,"Baotou Tomorrow Technology Co.,Ltd",stmk,主板,19970704,SSE,李国春,李国春,关明,43741.2524,19970626,内蒙古,包头市,www.tomotech.com,600091@sina.com;guanming@tomotech.com,1097.0,ST 明 科,ST明科,S220202,化工,化学原料,氯碱,S220000,S220200
38,600093.SH,*ST易见,云南,易见供应链管理股份有限公司,"Easy Visible Supply Chain Management Co.,Ltd.",styj,主板,19970626,SSE,杨复兴,史顺,罗昌垚,112244.75,19970623,云南,昆明市,www.easy-visible.com,changyao.luo@easy-visible.com;e-visible@easy-visible.com,216.0,易见股份,易见股份,S490301,非银金融,多元金融,多元金融,S490000,S490300
39,600094.SH,大名城,上海,上海大名城企业股份有限公司,Greattown Holdings Ltd.,dmc,主板,19970703,SSE,俞锦,俞锦,张燕琦,247532.5057,19960718,上海,上海市,www.greattown.cn,dmc@greattown.cn;chizhiqiang@greattown.cn;zhangyanqi@greattown.cn,1205.0,大 名 城,大名城,S430101,房地产,房地产开发,房地产开发,S430000,S430100
40,600097.SH,开创国际,上海,上海开创国际海洋资源股份有限公司,"Shanghai Kaichuang Marine International Co.,Ltd.",kcgj,主板,19970619,SSE,谢峰,吴昔磊,汪涛,24093.6559,19931011,上海,上海市,www.skmic.sh.cn,ir@skmic.sh.cn,1161.0,开创国际,开创国际,S110201,农林牧渔,渔业,海洋捕捞,S110000,S110200
41,600098.SH,广州发展,广东,广州发展集团股份有限公司,Guangzhou Development Group Incorporated,gzfz,主板,19970718,SSE,蔡瑞雄,吴旭,吴宏,354405.5525,19921113,广东,广州市,www.gdg.com.cn,600098@gdg.com.cn,5543.0,广州发展,广州发展,S410101,公用事业,电力,火电,S410000,S410100
42,600100.SH,同方股份,北京,同方股份有限公司,"Tsinghua Tongfang Co.,Ltd.",tfgf,主板,19970627,SSE,黄敏刚,胡军,张健,335029.7713,19970625,北京,北京市,www.thtf.com.cn,600100@thtf.com.cn,12556.0,同方股份,同方股份,S710101,计算机,计算机设备,计算机设备,S710000,S710100
43,600101.SH,明星电力,四川,四川明星电力股份有限公司,"Sichuan Mingxing Electric Power Co.,Ltd.",mxdl,主板,19970627,SSE,王更生,向道泉,雷斌,42143.267,19880429,四川,遂宁市,www.mxdl.com.cn,mxdl600101@163.com;zhanger02@126.com,1699.0,明星电力,明星电力,S410102,公用事业,电力,水电,S410000,S410100
44,600103.SH,青山纸业,福建,福建省青山纸业股份有限公司,"Fujian Qingshan Paper Industry Co.,Ltd.",qszy,主板,19970703,SSE,张小强,林小河,潘其星,230581.7807,19930401,福建,福州市,www.qingshanpaper.com,279875009@qq.com;qszy600103@163.com;pqx415@163.com,3593.0,青山纸业,青山纸业,S360101,轻工制造,造纸,造纸,S360000,S360100
45,600104.SH,上汽集团,上海,上海汽车集团股份有限公司,SAIC Motor Corporation Limited,sqjt,主板,19971125,SSE,陈虹,王晓秋,陈逊,1168346.1365,19840416,上海,上海市,www.saicmotor.com,saicmotor@saic.com.cn,204815.0,上汽集团,上汽集团,S280101,汽车,汽车整车,乘用车,S280000,S280100
46,600105.SH,永鼎股份,江苏,江苏永鼎股份有限公司,Jiangsu Etern Company Limited,ydgf,主板,19970929,SSE,莫思铭,莫思铭,张国栋,141105.4063,19940630,江苏,苏州市,www.yongding.com.cn,zqb@yongding.com.cn;zgd@yongding.com.cn,4148.0,永鼎股份,永鼎股份,S730202,通信,通信设备,通信传输设备,S730000,S730200
47,600107.SH,美尔雅,湖北,湖北美尔雅股份有限公司,"Hubei Mailyard Share Co.,Ltd",mey,主板,19971106,SSE,陈京南,陈京南,陈京南,36000.0,19931231,湖北,黄石市,www.mailyard.com.cn,meierya00@mailyard.cn,3081.0,美 尔 雅,美尔雅,S350202,纺织服装,服装家纺,男装,S350000,S350200
48,600109.SH,国金证券,四川,国金证券股份有限公司,"Sinolink Securities Co., Ltd.",gjzq,主板,19970807,SSE,冉云,姜文国,周洪刚,302435.93100000004,19961220,四川,成都市,www.gjzq.com.cn,tzzgx@gjzq.com.cn,3545.0,国金证券,国金证券,S490101,非银金融,证券,证券,S490000,S490100
49,600110.SH,诺德股份,吉林,诺德投资股份有限公司,"Nuode Investment Co.,Ltd",ndgf,主板,19971007,SSE,陈立志,许松青,王寒朵,139726.8615,19890823,吉林,长春市,www.ndgf.net,IR@ndgf.net;zcb@ndgf.net,1650.0,诺德股份,诺德股份,S270401,电子,其他电子,其他电子,S270000,S270400
50,600111.SH,北方稀土,内蒙,中国北方稀土(集团)高科技股份有限公司,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",bfxt,主板,19970924,SSE,章智强,瞿业栋,余英武,363306.6,19970912,内蒙古,包头市,www.reht.com\www.reht.cn,cnrezqb@126.com,9111.0,北方稀土,北方稀土,S240501,有色金属,稀有金属,稀土,S240000,S240500
51,600112.SH,*ST天成,贵州,贵州长征天成控股股份有限公司,"Guizhou Changzheng Tiancheng Holding Co.,Ltd.",sttc,主板,19971127,SSE,高健,高健,高健,50920.0,19971113,贵州,遵义市,www.tckg.cn,czdq600112@126.com;xiaoyray@163.com,367.0,ST  天成,天成控股,S630402,电气设备,高低压设备,中压设备,S630000,S630400
52,600114.SH,东睦股份,浙江,东睦新材料集团股份有限公司,"NBTM New Materials Group Co., Ltd.",dmgf,主板,20040511,SSE,朱志荣,朱志荣,严丰慕,61638.3477,19940711,浙江,宁波市,www.pm-china.com,yanfm@pm-china.com;tangym@pm-china.com,4992.0,东睦股份,东睦股份,S240201,有色金属,金属非金属新材料,金属新材料,S240000,S240200
53,600115.SH,中国东航,上海,中国东方航空股份有限公司,China Eastern Airlines Corporation Limited,zgdh,主板,19971105,SSE,刘绍勇,李养民,汪健,1887444.0078,19950414,上海,上海市,www.ceair.com,ir@ceair.com,81157.0,东方航空,东方航空,S420401,交通运输,航空运输,航空运输,S420000,S420400
54,600116.SH,三峡水利,重庆,重庆三峡水利电力(集团)股份有限公司,"Chongqing Three Gorges Water Conservancy and Electric Power Co.,Ltd.",sxsl,主板,19970804,SSE,叶建桥,周泽勇,车亚平,191214.2904,19940428,重庆,重庆市,www.cqsxsl.com,sxsl600116@163.com,3930.0,三峡水利,三峡水利,S410102,公用事业,电力,水电,S410000,S410100
55,600119.SH,长江投资,上海,长发集团长江投资实业股份有限公司,"Y.U.D.Yangtze River Investment Industry Co.,Ltd.",cjtz,主板,19980115,SSE,鲁国锋,李乐,施嶔宇,30740.0,19971128,上海,上海市,www.cjtz.cn,cjtzbgs@cjtz.cn;shiqinyu@cjtz.cn;zouyiyi@cjtz.cn,425.0,ST 长 投,长江投资,S420801,交通运输,物流,物流,S420000,S420800
56,600121.SH,郑州煤电,河南,郑州煤电股份有限公司,"Zhengzhou Coal Industry & Electric Power Co.,Ltd.",zzmd,主板,19980107,SSE,于泽阳,张海洋,陈晓燕,121841.2038,19971113,河南,郑州市,www.zzce.com.cn,zce600121@163.com,13954.0,郑州煤电,郑州煤电,S210201,采掘,煤炭开采,煤炭开采,S210000,S210200
57,600127.SH,金健米业,湖南,金健米业股份有限公司,"Jinjian Cereals Industry Co.,Ltd.",jjmy,主板,19980506,SSE,陈伟,陈伟,陈绍红,64178.3218,19980427,湖南,常德市,www.jjmy.cn,hj_600127@163.com;dm_600127@163.com,1350.0,金健米业,金健米业,S110502,农林牧渔,农产品加工,粮油加工,S110000,S110500
58,600128.SH,弘业股份,江苏,江苏弘业股份有限公司,Jiangsu Holly Corporation,hygf,主板,19970901,SSE,马宏伟,姜琳,姜琳,24676.75,19940630,江苏,南京市,www.artall.com.cn,hyzqb@artall.com;jsacgrp@artall.com;zqb@artall.com,875.0,弘业股份,弘业股份,S510101,综合,综合,综合,S510000,S510100
59,600130.SH,波导股份,浙江,宁波波导股份有限公司,"Ningbo Bird Co.,Ltd.",bdgf,主板,20000706,SSE,徐立华,张樟铉,马思甜,76800.0,19950727,浙江,宁波市,www.chinabird.com,birdzq@chinabird.com,409.0,波导股份,波导股份,S730201,通信,通信设备,终端设备,S730000,S730200
60,600131.SH,国网信通,四川,国网信息通信股份有限公司,"State Grid Information&Telecommunication Co.,Ltd.",gwxt,主板,19980402,SSE,杨树,倪平波,肖劲松,119539.4544,19970105,四川,阿坝藏族羌族自治州,www.sgitc.com,xjs600131@263.net;weijianke@263.net;gwxt@sgitc.com;xiaojinsong@sgitc.com,1123.0,国网信通,岷江水电,S410102,公用事业,电力,水电,S410000,S410100
61,600133.SH,东湖高新,湖北,武汉东湖高新集团股份有限公司,"Wuhan East Lake High Technology Group Co.,Ltd.",dhgx,主板,19980212,SSE,杨涛,,段静,79555.4742,19930319,湖北,武汉市,www.elht.com,duanjing0822@126.com;dhgxzjy79@163.com;dhgx600133@elht.com,2594.0,东湖高新,东湖高新,S620305,建筑装饰,基础建设,其他基础建设,S620000,S620300
62,600135.SH,乐凯胶片,河北,乐凯胶片股份有限公司,Lucky Film Company Limited,lkjp,主板,19980122,SSE,王洪泽,路建波,张永光,55330.7099,19980116,河北,保定市,gufen.luckyfilm.com.cn,stock@luckyfilm.com,2539.0,乐凯胶片,乐凯胶片,S360303,轻工制造,家用轻工,其他家用轻工,S360000,S360300
63,600136.SH,当代文体,湖北,武汉当代明诚文化体育集团股份有限公司,"Wuhan Ddmc Culture & Sports Co.,Ltd.",ddwt,主板,19980303,SSE,易仁涛,闫爱华,高维,58461.8623,19921031,湖北,武汉市,www.ddmcgroup.cn,gaowei_ddmc@sina.com;fwq_ddmc@sina.com;public@ddmcgroup.cn,318.0,当代文体,当代明诚,S720102,传媒,文化传媒,影视动漫,S720000,S720100
64,600137.SH,浪莎股份,四川,四川浪莎控股股份有限公司,Sichuan Langsha Holding Ltd.,lsgf,主板,19980416,SSE,翁荣弟,翁荣弟,马中明,9721.7588,19961226,四川,宜宾市,www.langshastock.com,cjbz@vip.163.com,324.0,浪莎股份,浪莎股份,S350207,纺织服装,服装家纺,其他服装,S350000,S350200
65,600139.SH,ST西源,四川,四川西部资源控股股份有限公司,"Sichuan Western Resources Holding Co., Ltd",stxy,主板,19980225,SSE,刘新盘,熊健,高飞,66189.0508,19971202,四川,绵阳市,www.scxbzy.com,hua.qin@scxbzy.com;600139@scxbzy.com;wangna@scxbzy.com,81.0,西部资源,西部资源,S510101,综合,综合,综合,S510000,S510100
66,600143.SH,金发科技,广东,金发科技股份有限公司,"Kingfa Sci.&Tech. Co.,Ltd.",jfkj,主板,20040623,SSE,袁志敏,李南京,戴耀珊,257362.2343,19930526,广东,广州市,www.kingfa.com,dys1119@kingfa.com;caosiying@kingfa.com;ir@kingfa.com,10258.0,金发科技,金发科技,S220503,化工,塑料,改性塑料,S220000,S220500
67,600145.SH,*ST新亿,新疆,新疆亿路万源实业控股股份有限公司,"Xinjiang Yilu Wanyuan Industrial Investment Holding Co., Ltd.",stxy,主板,19990923,SSE,卡司木江.吾斯曼,卡司木江.吾斯曼,,149110.038,19980928,新疆,塔城地区,www.gc145.com,xinyi600145@163.com,92.0,*ST 新亿,*ST新亿,S610303,建筑材料,其他建材,其他建材,S610000,S610300
68,600146.SH,*ST环球,宁夏,商赢环球股份有限公司,"Shangying Global Co., Ltd",sthq,主板,19990707,SSE,金松,朱方明,俞坚,46997.0,19990629,宁夏,银川市,www.600146.net,syhq@600146.net,614.0,商赢环球,商赢环球,S350203,纺织服装,服装家纺,女装,S350000,S350200
69,600149.SH,廊坊发展,河北,廊坊发展股份有限公司,"Langfang Development Co.,Ltd.",lffz,主板,19991014,SSE,王大为,曹玫,张春岭,38016.0,19930817,河北,廊坊市,,lf600149@163.com,130.0,ST 坊 展,ST坊展,S510101,综合,综合,综合,S510000,S510100
70,600150.SH,中国船舶,上海,中国船舶工业股份有限公司,China CSSC Holdings Limited,zgcb,主板,19980520,SSE,张英岱,季峻,陶健,447242.8758,19980512,上海,上海市,csscholdings.cssc.net.cn,stock@csscholdings.com;zhangdb@csscholdings.com,20284.0,中国船舶,中国船舶,S650401,国防军工,船舶制造,船舶制造,S650000,S650400
71,600152.SH,维科技术,浙江,维科技术股份有限公司,"Veken Technology.,Ltd.",wkjs,主板,19980609,SSE,何承命,杨东文,薛春林,52490.4562,19930728,浙江,宁波市,www.veken-tech.com,xcl@mail.veken.com;yangyu@mail.veken.com,2513.0,维科技术,维科技术,S270401,电子,其他电子,其他电子,S270000,S270400
72,600155.SH,华创阳安,北京,华创阳安股份有限公司,"Polaris Bay Group Co.,Ltd.",hcya,主板,19980918,SSE,陶永泽,张小艾,巫兰,173955.6648,19980721,北京,北京市,www.baoshuogufen.cn,hcyadb@huachuang-group.cn,2806.0,华创阳安,华创阳安,S490101,非银金融,证券,证券,S490000,S490100
73,600157.SH,永泰能源,山西,永泰能源股份有限公司,"Wintime Energy Co.,Ltd.",ytny,主板,19980513,SSE,王广西,窦红平,李军,2221776.4145,19920730,山西,晋中市,www.wtecl.com/www.永泰能源.中国,wteclbg@126.com;ytnynfw@126.com;wteclzqb@126.com,8745.0,永泰能源,永泰能源,S210201,采掘,煤炭开采,煤炭开采,S210000,S210200
74,600158.SH,中体产业,天津,中体产业集团股份有限公司,"China Sports Industry Group Co.,Ltd",ztcy,主板,19980327,SSE,王卫东,单铁,许宁宁,95951.3067,20060417,天津,天津市,www.csig158.com,csig@csig158.com;xuningning@csig158.com;hexingjia@csig158.com,1790.0,中体产业,中体产业,S720104,传媒,文化传媒,其他文化传媒,S720000,S720100
75,600162.SH,香江控股,深圳,深圳香江控股股份有限公司,"Shenzhen Heungkong Holding Co.,Ltd",xjkg,主板,19980609,SSE,翟美卿,翟美卿,吴光辉,339578.1424,19940130,广东,深圳市,www.hkhc.com.cn,wuguanghui@hkhc.com.cn;hexiaoxia@hkhc.com.cn;hkhc@hkhc.com.cn,3829.0,香江控股,香江控股,S430101,房地产,房地产开发,房地产开发,S430000,S430100
76,600163.SH,中闽能源,福建,中闽能源股份有限公司,"Zhongmin Energy Co., Ltd.",zmny,主板,19980602,SSE,张骏,郭政,段静静,190299.6143,19980526,福建,南平市,www.zhongminenergy.com,zmzqb@zmny600163.com,437.0,中闽能源,中闽能源,S410105,公用事业,电力,新能源发电,S410000,S410100
77,600165.SH,新日恒力,宁夏,宁夏新日恒力钢丝绳股份有限公司,"Ningxia Xinri Hengli Steel Wire Rope Co., Ltd",xrhl,主板,19980529,SSE,黄海粟,陈瑞,张宝林,68488.3775,19980514,宁夏,石嘴山市,www.xinrihengli.com,official@xinrihengli.com;306878155@qq.com,971.0,新日恒力,新日恒力,S640401,机械设备,金属制品,金属制品,S640000,S640400
